indice_tiempo,compra,venta
2016-01-01,14,14
2016-02-01,15,16
2016-03-01,15,15
2016-04-01,14,15
2016-05-01,14,15
2016-06-01,15,15
2016-07-01,15,15
2016-08-01,15,15
2016-09-01,15,16
2016-10-01,15,16
2016-11-01,16,16
2016-12-01,17,17
2017-01-01,16,17
2017-02-01,16,16
2017-03-01,16,16
2017-04-01,16,16
2017-05-01,16,16
2017-06-01,17,17
2017-07-01,18,18
2017-08-01,18,18
2017-09-01,18,18
2017-10-01,18,18
2017-11-01,18,18
2017-12-01,18,19
2018-01-01,20,20
2018-02-01,20,20
2018-03-01,20,21
2018-04-01,21,21
2018-05-01,25,26
2018-06-01,28,29
2018-07-01,28,29
2018-08-01,38,39
2018-09-01,39,41
2018-10-01,35,37
2018-11-01,36,38
2018-12-01,38,40
2019-01-01,36,38
2019-02-01,38,39
2019-03-01,43,44
2019-04-01,45,46
2019-05-01,44,46
2019-06-01,42,44
2019-07-01,44,45
2019-08-01,60,63
2019-09-01,58,61
2019-10-01,65,68
2019-11-01,66,69
2019-12-01,74,78
2020-01-01,74,78
2020-02-01,74,78
2020-03-01,78,84
2020-04-01,110,120
2020-05-01,115,125
2020-06-01,116,126
2020-07-01,131,136
2020-08-01,133,136
2020-09-01,140,146
2020-10-01,163,169
2020-11-01,151,155
2020-12-01,160,166
2021-01-01,148,153
2021-02-01,140,145
2021-03-01,136,141
2021-04-01,145,150
2021-05-01,152,157
2021-06-01,163,168
2021-07-01,176,180
2021-08-01,176,182
2021-09-01,182,186
2021-10-01,194,198
2021-11-01,198,202
2021-12-01,204,208
2022-01-01,209,213
2022-02-01,207,211
2022-03-01,196,200
2022-04-01,196,200
2022-05-01,203,206
2022-06-01,234,238
2022-07-01,286,296
2022-08-01,285,290
2022-09-01,284,288
2022-10-01,286,290
2022-11-01,310,314
2022-12-01,342,346
2023-01-01,377,381
2023-02-01,371,375
2023-03-01,391,395
2023-04-01,464,469
2023-05-01,485,490
2023-06-01,489,494
2023-07-01,545,550
2023-08-01,725,735
2023-09-01,795,800
2023-10-01,900,920
2023-11-01,885,905
2023-12-01,1005,1025
2024-01-01,1175,1195
2024-02-01,1010,1030
2024-03-01,990,1010
2024-04-01,1020,1040
2024-05-01,1205,1225
2024-06-01,1345,1365
2024-07-01,1350,1370
2024-08-01,1285,1305
2024-09-01,1215,1235
2024-10-01,1170,1190
2024-11-01,1100,1120
2024-12-01,1210,1230
2025-01-01,1200,1220
2025-02-01,1210,1230
2025-03-01,1305,1325
2025-04-01,1165,1185
2025-05-01,1160,1180
2025-06-01,1195,1215
2025-07-01,1315,1335
2025-08-01,1300,1320
2025-09-01,1425,1445
2025-10-01,1440,1460
